,detect_boxes_values,detect_name_tag_count
319,[[       98.5       461.5           7          13]],1
320,[[        106         475           6          12]],1
322,[[        106       482.5           6          11]],1
335,[[      162.5         559           7          12]],1
336,[[      174.5       564.5           7          13]],1
337,[[        189         569           8          16]],1
338,[[      202.5         575           9          16]],1
339,[[      222.5         586          11          18]],1
340,[[      239.5       591.5          11          17]],1
341,[[      259.5       590.5          13          17]],1
342,[[      281.5         590          13          18]],1
343,[[        293       590.5          12          19]],1
344,[[        313       589.5          14          19]],1
345,[[      340.5         592          13          18]],1
346,[[      371.5         597          11          18]],1
347,[[        392         596          10          16]],1
348,[[        421       588.5           8          15]],1
376,[[        513        42.5          18          15]],1
377,[[        519        42.5          18          13]],1
378,[[      523.5        45.5          19          11]],1
379,[[        529          50          18          12]],1
380,[[      533.5        57.5          17          11]],1
381,[[      540.5        67.5          17          11]],1
382,[[      543.5        74.5          17          11]],1
383,[[      546.5          90          17          12]],1
384,[[        549       102.5          16          11]],1
385,[[      549.5       121.5          15          11]],1
386,[[      550.5         136          15          10]],1
389,[[        577       216.5          22          11]],1
423,[[      517.5         717          15           6]],1
424,[[        514         708          16          10]],1
425,[[      512.5         700          19          10]],1
426,[[        513         689          20          10]],1
427,[[      513.5       681.5          19          11]],1
428,[[      516.5       667.5          21          11]],1
429,[[      518.5       654.5          21          11]],1
430,[[      524.5         630          23          12]],1
431,[[      530.5         615          23          12]],1
432,[[        536       594.5          24          11]],1
433,[[        541         578          22          10]],1
434,[[      555.5         550          21          10]],1
435,[[      567.5         522          21          10]],1
436,[[        573       493.5          22          11]],1
437,[[        573       469.5          20           9]],1
458,[[      437.5        56.5          15           9]],1
459,[[      438.5        54.5          15           9]],1
460,[[        445        52.5          18           9]],1
461,[[        452        51.5          18           9]],1
462,[[        468        52.5          18           9]],1
463,[[        487        55.5          16           9]],1
464,[[        502        57.5          16           9]],1
465,[[        511        65.5          16           9]],1
466,[[        515          73          14           8]],1
467,[[        522        87.5          16           9]],1
468,[[        525        98.5          16           9]],1
469,[[        526       111.5          16           9]],1
470,[[      532.5       128.5          17           9]],1
471,[[      538.5         145          17          10]],1
472,[[      550.5       171.5          17          11]],1
473,[[      559.5         196          17          10]],1
501,[[      499.5         716          11           8]],1
502,[[        501         705          14           8]],1
503,[[        502       698.5          16           9]],1
504,[[      505.5       684.5          17           9]],1
505,[[      508.5         667          19          10]],1
506,[[        514         652          20          10]],1
507,[[        520         632          22          10]],1
508,[[      532.5         608          19          10]],1
509,[[      540.5         592          21          10]],1
510,[[      546.5         576          21          10]],1
511,[[        553         547          22          10]],1
512,[[      556.5       523.5          21          11]],1
513,[[        558         498          22          10]],1
514,[[      560.5         466          19          10]],1
515,[[      557.5       445.5          13           9]],1
540,[[      685.5        75.5           7           9]],1
543,[[        694        72.5           6          13]],1
544,[[      691.5        74.5           7          13]],1
545,[[      681.5          77           7          14]],1
546,[[      673.5        77.5           7          13]],1
547,[[      667.5          77           7          12]],1
548,[[        654          76           8          12]],1
549,[[        637        74.5          10          13]],1
550,[[      626.5          73           9          14]],1
551,[[        612        74.5          10          15]],1
552,[[      597.5          80          11          16]],1
553,[[        583          90          10          14]],1
554,[[        576        95.5          14          17]],1
555,[[      569.5       107.5          15          15]],1
556,[[        565       123.5          18          13]],1
557,[[        560         136          18          12]],1
558,[[        556       156.5          16          11]],1
559,[[        554       177.5          14           9]],1
639,[[      454.5         617           7          12]],1
800,[[      530.5       675.5           9           7]],1
806,[[        486         716           8           6]],1
807,[[        488         713          12           8]],1
808,[[        490       706.5          14           9]],1
809,[[        496       698.5          16           9]],1
810,[[      501.5         690          17          10]],1
811,[[        506       677.5          18          11]],1
812,[[        507       660.5          18          11]],1
813,[[      506.5       644.5          19          11]],1
814,[[        508         626          20          12]],1
815,[[        512       609.5          20          11]],1
816,[[      524.5       581.5          21          13]],1
817,[[      534.5       563.5          21          13]],1
818,[[      546.5       533.5          21          13]],1
819,[[      551.5       509.5          21          13]],1
820,[[        556         467          22          14]],1
821,[[      561.5         428          21          14]],1
844,[[      723.5          94          11          10]],1
845,[[        717          96          14          14]],1
846,[[      704.5          93          15          16]],1
847,[[        696          89          16          16]],1
848,[[      682.5        86.5          15          17]],1
849,[[      670.5        85.5          15          17]],1
850,[[      661.5          87          15          18]],1
851,[[      649.5          90          15          18]],1
852,[[      641.5          91          15          18]],1
853,[[        630        96.5          18          19]],1
854,[[      617.5         101          21          20]],1
855,[[      598.5         105          23          20]],1
856,[[        589       109.5          24          19]],1
857,[[      579.5       124.5          25          19]],1
858,[[        573       143.5          24          17]],1
859,"[[        571         156          24          18]
 [        555          99          18          20]]",2
860,[[      569.5       176.5          23          17]],1
861,[[        567         202          22          14]],1
862,[[        565         222          20          14]],1
863,[[        568       250.5          20          13]],1
888,[[        476         717          10           6]],1
