                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4228,                 52.101,                 1.1424,                0.62614,                0.64815,                0.65053,                0.29499,                 1.9343,                 1.3754,                 1.0638,               0.070652,              0.0032609,              0.0032609
                      1,                 2.0962,                 1.6066,                 1.0096,                0.87484,                0.77667,                0.79358,                0.37911,                 2.0368,                  1.144,                 1.0719,               0.040522,              0.0064636,              0.0064636
                      2,                 2.1662,                 1.8658,                 1.0318,                0.72392,                0.64815,                 0.7129,                0.28971,                 2.2371,                 2.5034,                 1.0434,               0.010259,              0.0095344,              0.0095344
                      3,                 2.1375,                 1.5746,                 1.0367,                0.58529,                0.73187,                0.69026,                0.28831,                 2.5215,                 1.3889,                 1.1809,               0.009406,               0.009406,               0.009406
                      4,                 2.2125,                 1.5598,                 1.0373,                0.74399,                0.83333,                0.83334,                0.33444,                  2.414,                 1.9044,                 1.1198,               0.009406,               0.009406,               0.009406
                      5,                 2.1279,                 1.1806,                0.99693,                0.77758,                0.71222,                0.80366,                0.35045,                  2.119,                 1.8642,                  1.007,               0.009208,               0.009208,               0.009208
                      6,                 2.1974,                 1.1618,                 1.0206,                0.83337,                0.83358,                0.90712,                0.38758,                 1.9524,                 1.1152,                0.98327,                0.00901,                0.00901,                0.00901
                      7,                 2.0658,                 1.1795,                 1.0199,                0.80012,                 0.7963,                0.83285,                0.34257,                 2.0112,                 1.8344,                 1.0077,               0.008812,               0.008812,               0.008812
                      8,                 2.0718,                 1.0638,                 1.0012,                0.76412,                0.75926,                0.76708,                0.32494,                 2.2786,                 1.8866,                 1.0294,               0.008614,               0.008614,               0.008614
                      9,                 2.1003,                 1.0945,                  1.006,                0.84271,                0.89301,                0.91159,                0.37135,                 2.2453,                 1.2801,                 1.0216,               0.008416,               0.008416,               0.008416
                     10,                 2.0463,                 1.0327,                0.99294,                0.84502,                0.90879,                0.84419,                0.31903,                 1.9583,                0.97107,                0.98159,               0.008218,               0.008218,               0.008218
                     11,                 2.0611,                 1.0557,                0.98313,                0.87536,                0.85185,                0.89023,                0.43169,                 1.9048,                0.97974,                0.97951,                0.00802,                0.00802,                0.00802
                     12,                 1.9949,                0.95024,                0.98194,                  0.833,                0.77778,                0.83636,                0.40533,                 2.0496,                 1.0395,                0.98259,               0.007822,               0.007822,               0.007822
                     13,                 2.0049,                0.98871,                0.98871,                0.87024,                 0.7963,                0.84757,                0.39116,                 1.9797,                 1.2034,                 0.9803,               0.007624,               0.007624,               0.007624
                     14,                 1.9401,                 0.9852,                0.99568,                0.95374,                0.76366,                 0.9079,                0.42851,                 2.1087,                0.99985,                 1.0117,               0.007426,               0.007426,               0.007426
                     15,                 1.8765,                0.92267,                0.97719,                0.89052,                0.85185,                0.90304,                0.44207,                 1.7467,                0.93457,                0.95299,               0.007228,               0.007228,               0.007228
                     16,                 1.9045,                0.97213,                 1.0015,                0.94357,                 0.7963,                0.91945,                0.45748,                 1.8503,                 1.1074,                0.97307,                0.00703,                0.00703,                0.00703
                     17,                 1.8181,                0.89906,                0.96869,                 0.9322,                0.85185,                 0.9172,                 0.4298,                 1.9134,                 0.8451,                0.96395,               0.006832,               0.006832,               0.006832
                     18,                 1.8335,                0.89524,                0.96875,                0.85202,                0.87037,                0.91066,                0.41336,                 1.9066,                0.84892,                0.97527,               0.006634,               0.006634,               0.006634
